,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Title,Publication Title,Volume,Issue,DOI,Authors,Publication Year,URL,Type,Abstract,Keywords,ISBN,ISSN,Date,Date Added,Date Modified,Pages,Series,Publisher,Key,Eligibility_Abstract_Score,Eligibility_Keywords_Score,Eligibility_Title_Score,Eligibility_Score
24,29.0,32.0,32.0,Mapping Research Strands of Ethics of Artificial Intelligence in Healthcare: A Bibliometric and Content Analysis,Comput. Biol. Med.,135.0,C,10.1016/j.compbiomed.2021.104660,"Saheb, Tahereh; Saheb, Tayebeh; Carpenter, David O.",2021.0,https://doi.org/10.1016/j.compbiomed.2021.104660,journalArticle,"The growth of artificial intelligence in promoting healthcare is rapidly progressing. Notwithstanding its promising nature, however, AI in healthcare embodies certain ethical challenges as well. This research aims to delineate the most influential elements of scientific research on AI ethics in healthcare by conducting bibliometric, social network analysis, and cluster-based content analysis of scientific articles. Not only did the bibliometric analysis identify the most influential authors, countries, institutions, sources, and documents, but it also recognized four ethical concerns associated with 12 medical issues. These ethical categories are composed of normative, meta-ethics, epistemological and medical practice. The content analysis complemented this list of ethical categories and distinguished seven more ethical categories: ethics of relationships, medico-legal concerns, ethics of robots, ethics of ambient intelligence, patients' rights, physicians’ rights, and ethics of predictive analytics. This analysis likewise identified 40 general research gaps in the literature and plausible future research strands. This analysis furthers conversations on the ethics of AI and associated emerging technologies such as nanotech and biotech in healthcare, hence, advances convergence research on the ethics of AI in healthcare. Practically, this research will provide a map for policymakers and AI engineers and scientists on what dimensions of AI-based medical interventions require stricter policies and guidelines and robust ethical design and development.",Ethics; Artificial intelligence; Content analysis; Healthcare; Bibliometric analysis; Network visualization; Robotics,,0010-4825,2021-08,2023-11-06 01:30:04,2023-11-06 01:30:04,,,,2BYKVZ92,0.1761904761904762,0.1818181818181818,0.1333333333333333,0.1738921640697445
25,30.0,33.0,33.0,Mental Contents in Designing AI Ethics,"Culture and Computing: 10th International Conference, C&amp;C 2022, Held as Part of the 24th HCI International Conference, HCII 2022, Virtual Event, June 26 – July 1, 2022, Proceedings",,,10.1007/978-3-031-05434-1_32,"Saariluoma, Pertti; Myllylä, Mari; Karvonen, Antero",2022.0,https://doi.org/10.1007/978-3-031-05434-1_32,conferencePaper,"In future intelligent digital society, the way people organize their life around technologies shall change because intelligent machines can follow ethical rules in their behavior. In the human mind, ethics exist as contents of mental representations. Therefore, it is important to investigate the information contents of mental representations or mental contents. One can also call this approach content-based cognitive research. The analysis of mental contents makes it possible to mimic human ethical information processing and construct human digital twins for designing ethical machine information processes. In this paper, we analyze the relevant AI aspects of Hume’s guillotine. Hume asked critically whether facts can be used to derive values. His answer was negative. However, modern information technology can collect huge masses of facts, but can these facts be used in improving how we should live? Content-based analysis of human ethical information processing opens possibilities to bypass the logical dilemma of Hume’s guillotine.",Ethical discourse; Hume’s guillotine; Mental contents; Weak and strong ethical AI,978-3-031-05433-4,,2022,2023-11-06 01:29:48,2023-11-06 01:29:48,477–487,,Springer-Verlag,ZWPT3FNA,0.1258278145695364,0.6363636363636364,0.5,0.173611085946733
26,31.0,34.0,34.0,From the Ground Truth up: Doing AI Ethics from Practice to Principles,AI Soc.,38.0,4,10.1007/s00146-021-01336-4,"Brusseau, James",2022.0,https://doi.org/10.1007/s00146-021-01336-4,journalArticle,"Recent AI ethics has focused on applying abstract principles downward to practice. This paper moves in the other direction. Ethical insights are generated from the lived experiences of AI-designers working on tangible human problems, and then cycled upward to influence theoretical debates surrounding these questions: (1) Should AI as trustworthy be sought through explainability, or accurate performance? (2) Should AI be considered trustworthy at all, or is reliability a preferable aim? (3) Should AI ethics be oriented toward establishing protections for users, or toward catalyzing innovation? Specific answers are less significant than the larger demonstration that AI ethics is currently unbalanced toward theoretical principles, and will benefit from increased exposure to grounded practices and dilemmas.",AI case studies; AI ethics; Healthcare AI; Philosophy and AI; Trustworthy AI,,0951-5666,2022-01,2023-11-06 01:29:48,2023-11-06 01:29:48,1651–1657,,,8GLT86ME,0.1217391304347826,0.5833333333333334,0.3333333333333333,0.1735443018845113
27,32.0,35.0,35.0,A Study on the Modeling of Major Factors for the Principles of AI Ethics,DG.O2021: The 22nd Annual International Conference on Digital Government Research,,,10.1145/3463677.3463733,"Lim, Ji Hun; Kwon, Hun Yeong",2021.0,https://doi.org/10.1145/3463677.3463733,conferencePaper,"The fourth industrial revolution, centered on artificial intelligence (AI), signals a significant transformation in human society. For this social transformation to ultimately be for humankind's prosperity and happiness, serious consideration of AI ethics is needed. As a result, many countries have begun to establish AI ethics principles, and the international community is pushing for standardization on AI ethics principles. This study aims to derive general factors of ethical principles that should be considered to establish and standardize AI ethics principles. To this end, we present a ""general AI ethics principles model,"" including 12 major factors, based on the recently published AI ethics principles in 15 countries. Furthermore, the major factors for AI ethics principles that we derived through this study ultimately confirmed that AI should be useful to all humans and is oriented toward the value of building a ""Trustworthy"" AI society. Based on these fundamental ideologies, we confirmed that each factor interconnects with each other. It is hoped that the AI ethics principles model that reflects this will be referred to national and international communities that have yet to develop Principles of AI Ethics. However, Factors for AI ethics principles should be constructed following the principles' intent and goal orientation, ensuring its feasibility, rather than merely duplicating the principles model.",,978-1-4503-8492-6,,2021,2023-11-06 01:29:49,2023-11-06 01:29:49,208–218,DG.O'21,Association for Computing Machinery,CP5RISCE,0.1706161137440758,0.0,0.2142857142857142,0.1727108580738546
29,34.0,37.0,37.0,Rebuilding 'ethics' to Govern AI: How to Re-Set the Boundaries for the Legal Sector?,Proceedings of the Nineteenth International Conference on Artificial Intelligence and Law,,,10.1145/3594536.3595156,"Unver, Mehmet B.",2023.0,https://doi.org/10.1145/3594536.3595156,conferencePaper,"Artificial intelligence (AI) has been transforming the legal sector and profession given every day enhancing AI-driven legal tech tools. Considering the far-reaching ethical implications of such tools and the disparate functionalities of 'AI ethics' and 'legal ethics', this paper puts into question the interplay between these ethical domains and their underlying rules. After fleshing out the governance of ethics under each domain, e.g. respectively professional conduct rules and self-regulatory principles, and signposting the unresolved ethical challenges of status quo, e.g. particularly concerning cross-domain issues, the paper discusses how they need to interact, based on the three policy options: 'revision of the conduct rules', 'individual (company level) collaboration' and 'higher-level collaboration'. It is concluded that 'higher-level collaboration' between the stakeholders is found to be the most sustainable and long-term option given the need to mitigate the ethical challenges concerning the legal sector from a holistic point of view.",AI ethics; fairness; accountability; transparency; Legal ethics,9798400701979,,2023,2023-11-06 01:29:59,2023-11-06 01:29:59,306–315,ICAIL '23,Association for Computing Machinery,R8UG3WLT,0.1360544217687075,0.7142857142857143,0.2142857142857142,0.1717094798118252
30,35.0,38.0,38.0,Making Art with and about Artificial Intelligence: Three Approaches to Teaching AI and AI Ethics to Middle and High School Students,Proceedings of the 53rd ACM Technical Symposium on Computer Science Education V. 2,,,10.1145/3478432.3499157,"Walsh, Benjamin; Ali, Safinah; Castro, Francisco; Desportes, Kayla; DiPaola, Daniella; Lee, Irene; Payne, William; Sieke, Scott; Zhang, Helen",2022.0,https://doi.org/10.1145/3478432.3499157,conferencePaper,"In this hands-on workshop participants will experience the curricula from three NSF funded projects, which engage youth in creating art with and about AI technologies while exploring related ethical concerns.danceON is a web-based creative coding environment that engages learners in creating multimedia dance performances. Besides writing reactive code that generates animations to augment dance performances, students also use the system to explore the boundaries and biases of AI.DAILy is a curriculum focused on developing AI literacy among middle school students through the integration of technical concepts and processes, ethical and societal implications, and career futures in AI. Participants will be focusing on the AI + art modules of DAILy.Imagine AI develops project-based curricula to support youth in exploring critical ethical issues related to AI. Students read short stories featuring youth at the center of AI ethical dilemmas, build and manipulate AI systems, and create digital media to express ethical stances.Participants will leave the workshop with multiple AI teaching strategies that blend technical learning with social purpose and creative expression.",ai ethics education; art; artificial intelligence education,978-1-4503-9071-2,,2022,2023-11-06 01:29:50,2023-11-06 01:29:50,1203,SIGCSE 2022,Association for Computing Machinery,EZQ5A6TG,0.1538461538461538,0.4285714285714285,0.1904761904761904,0.1691687840484339
31,36.0,39.0,39.0,AI Ethics and the Banality of Evil,Ethics and Inf. Technol.,23.0,3,10.1007/s10676-021-09587-x,"Tajalli, Payman",2021.0,https://doi.org/10.1007/s10676-021-09587-x,journalArticle,"In this paper, I draw on Hannah Arendt’s notion of ‘banality of evil’ to argue that as long as AI systems are designed to follow codes of ethics or particular normative ethical theories chosen by us and programmed in them, they are Eichmanns destined to commit evil. Since intelligence alone is not sufficient for ethical decision making, rather than strive to program AI to determine the right ethical decision based on some ethical theory or criteria, AI should be concerned with avoiding making the wrong decisions, and this requires hardwiring the thinking activity as a prerequisite for decision making.",Artificial Intelligence; Artificial Thinking; Banality of Evil,,1388-1957,2021-09,2023-11-06 01:29:48,2023-11-06 01:29:48,447–454,,,5CDJRHE9,0.1717171717171717,0.0,0.4285714285714285,0.1689992457037911
32,37.0,40.0,40.0,Seeing Like a Toolkit: How Toolkits Envision the Work of AI Ethics,Proc. ACM Hum.-Comput. Interact.,7.0,CSCW1,10.1145/3579621,"Wong, Richmond Y.; Madaio, Michael A.; Merrill, Nick",2023.0,https://doi.org/10.1145/3579621,journalArticle,"Numerous toolkits have been developed to support ethical AI development. However, toolkits, like all tools, encode assumptions in their design about what work should be done and how. In this paper, we conduct a qualitative analysis of 27 AI ethics toolkits to critically examine how the work of ethics is imagined and how it is supported by these toolkits. Specifically, we examine the discourses toolkits rely on when talking about ethical issues, who they imagine should do the work of ethics, and how they envision the work practices involved in addressing ethics. Among the toolkits, we identify a mismatch between the imagined work of ethics and the support the toolkits provide for doing that work. In particular, we identify a lack of guidance around how to navigate labor, organizational, and institutional power dynamics as they relate to performing ethical work. We use these omissions to chart future work for researchers and designers of AI ethics toolkits.",ethics; fairness; labor; toolkits; work,,,2023-04,2023-11-06 01:29:49,2023-11-06 01:29:49,,,,57LMLERK,0.1538461538461538,0.4,0.25,0.1686935969058874
35,40.0,43.0,43.0,Beyond Fairness and Explanation: Foundations of Trustworthiness of Artificial Agents,"Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3514094.3539570,"Malle, Bertram F.",2022.0,https://doi.org/10.1145/3514094.3539570,conferencePaper,"The topics of fairness and explainability have dominated recent discussions of ethical AI. However, these are only two criteria that would make artificial agents anywhere close to ethical. I frame the question of ethical AI, and especially ethical social robots, as the question of what would make them worthy of human trust and actually eliciting human trust. Relying on a recent investigation of the multi-dimensionality of human trust, I lay out five criteria of trustworthiness-being competent, reliable, transparent, benevolent, and having ethical integrity. I will argue that an essential ingredient of such trustworthiness is norm competence-the ability to represent, comply with, and learn relevant social-moral norms (including fairness as one among many). I discuss the challenges to implementing norm competence and the critical role that justification, not just explanation, will play in providing evidence for such competence.",fairness; explainability; norms; ethical ai; trust; xai; robotethics; trustworthiness,978-1-4503-9247-1,,2022,2023-11-06 01:29:55,2023-11-06 01:29:55,4,AIES '22,Association for Computing Machinery,2I4CL7D7,0.145985401459854,0.5555555555555556,0.0,0.1663380091994811
36,41.0,44.0,44.0,Ethical Data Curation for AI: An Approach Based on Feminist Epistemology and Critical Theories of Race,"Proceedings of the 2021 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3461702.3462598,"Leavy, Susan; Siapera, Eugenia; O'Sullivan, Barry",2021.0,https://doi.org/10.1145/3461702.3462598,conferencePaper,"The potential for bias embedded in data to lead to the perpetuation of social injustice though Artificial Intelligence (AI) necessitates an urgent reform of data curation practices for AI systems, especially those based on machine learning. Without appropriate ethical and regulatory frameworks there is a risk that decades of advances in human rights and civil liberties may be undermined. This paper proposes an approach to data curation for AI, grounded in feminist epistemology and informed by critical theories of race and feminist principles. The objective of this approach is to support critical evaluation of the social dynamics of power embedded in data for AI systems. We propose a set of fundamental guiding principles for ethical data curation that address the social construction of knowledge, call for inclusion of subjugated and new forms of knowledge, support critical evaluation of theoretical concepts within data and recognise the reflexive nature of knowledge. In developing this ethical framework for data curation, we aim to contribute to a virtue ethics for AI and ensure protection of fundamental and human rights.",critical theories of race; data curation; ethical ai; feminist theory,978-1-4503-8473-5,,2021,2023-11-06 01:29:53,2023-11-06 01:29:53,695–703,AIES '21,Association for Computing Machinery,4G3QRRXZ,0.1314285714285714,0.5,0.3125,0.1649661682854959
37,42.0,45.0,45.0,Walking the Walk of AI Ethics: Organizational Challenges and the Individualization of Risk among Ethics Entrepreneurs,"Proceedings of the 2023 ACM Conference on Fairness, Accountability, and Transparency",,,10.1145/3593013.3593990,"Ali, Sanna J.; Christin, Angèle; Smart, Andrew; Katila, Riitta",2023.0,https://doi.org/10.1145/3593013.3593990,conferencePaper,"Amidst decline in public trust in technology, computing ethics have taken center stage, and critics have raised questions about corporate “ethics washing.” Yet few studies examine the actual implementation of AI ethics values in technology companies. Based on a qualitative analysis of technology workers tasked with integrating AI ethics into product development, we find that workers experience an environment where policies, practices, and outcomes are decoupled. We analyze AI ethics workers as ethics entrepreneurs who work to institutionalize new ethics-related practices within organizations. We show that ethics entrepreneurs face three major barriers to their work. First, they struggle to have ethics prioritized in an environment centered around software product launches. Second, ethics are difficult to quantify in a context where company goals are incentivized by metrics. Third, the frequent reorganization of teams makes it difficult to access knowledge and maintain relationships central to their work. Consequently, individuals take on great personal risk when raising ethics issues, especially when they come from marginalized backgrounds. These findings shed light on complex dynamics of institutional change at technology companies.",AI ethics; decoupling; institutional change; neo-institutionalism; organizations; responsible AI; Science and Technology Studies,9798400701924,,2023,2023-11-06 01:29:48,2023-11-06 01:29:48,217–226,FAccT '23,Association for Computing Machinery,54WS3WZI,0.1363636363636363,0.3076923076923077,0.3125,0.1647601814073776
38,48.0,51.0,51.0,Automated Kantian Ethics,"Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3514094.3539527,"Singh, Lavanya",2022.0,https://doi.org/10.1145/3514094.3539527,conferencePaper,"As we grant artificial intelligence increasing power and independence in contexts like healthcare, policing, and driving, AI faces moral dilemmas but lacks the tools to solve them. The dangers of unethical AI motivate automated ethics-i.e., the development of machines that can perform ethical reasoning. Though philosophically sophisticated ethical theories enable nuanced judgements, prior work in automated ethics rarely engages with philosophical literature. I contribute an implementation of automated Kantian ethics that is faithful to the Kantian philosophical tradition. My system can morally judge actions and is an early step towards philosophically mature ethical AI agents. I hope to develop an ""input parser"" that can parse natural language sentences into logical formulas that my system can evaluate.",Kant; automated ethics; Dyadic Deontic Logic; Isabelle/HOL,978-1-4503-9247-1,,2022,2023-11-06 01:29:54,2023-11-06 01:29:54,915,AIES '22,Association for Computing Machinery,UMPN42CE,0.1379310344827586,0.2857142857142857,0.6666666666666666,0.1616599225897255
39,50.0,53.0,53.0,Organisational Responses to the Ethical Issues of Artificial Intelligence,AI Soc.,37.0,1,10.1007/s00146-021-01148-6,"Stahl, Bernd Carsten; Antoniou, Josephina; Ryan, Mark; Macnish, Kevin; Jiya, Tilimbe",2022.0,https://doi.org/10.1007/s00146-021-01148-6,journalArticle,"The ethics of artificial intelligence (AI) is a widely discussed topic. There are numerous initiatives that aim to develop the principles and guidance to ensure that the development, deployment and use of AI are ethically acceptable. What is generally unclear is how organisations that make use of AI understand and address these ethical issues in practice. While there is an abundance of conceptual work on AI ethics, empirical insights are rare and often anecdotal. This paper fills the gap in our current understanding of how organisations deal with AI ethics by presenting empirical findings collected using a set of ten case studies and providing an account of the cross-case analysis. The paper reviews the discussion of ethical issues of AI as well as mitigation strategies that have been proposed in the literature. Using this background, the cross-case analysis categorises the organisational responses that were observed in practice. The discussion shows that organisations are highly aware of the AI ethics debate and keen to engage with ethical issues proactively. However, they make use of only a relatively small subsection of the mitigation strategies proposed in the literature. These insights are of importance to organisations deploying or using AI, to the academic AI ethics debate, but maybe most valuable to policymakers involved in the current debate about suitable policy developments to address the ethical issues raised by AI.",Ethics; Artificial intelligence; AI policy; Case study; Organisational response,,0951-5666,2022-03,2023-11-06 01:30:00,2023-11-06 01:30:00,23–37,,,A8WHBU5L,0.1415929203539823,0.3333333333333333,0.3333333333333333,0.1597741697444135
40,51.0,54.0,54.0,Artificial Intelligence ELSI Score for Science and Technology: A Comparison between Japan and the US,AI Soc.,38.0,4,10.1007/s00146-021-01323-9,"Hartwig, Tilman; Ikkatai, Yuko; Takanashi, Naohiro; Yokoyama, Hiromi M.",2022.0,https://doi.org/10.1007/s00146-021-01323-9,journalArticle,"Artificial intelligence (AI) has become indispensable in our lives. The development of a quantitative scale for AI ethics is necessary for a better understanding of public attitudes toward AI research ethics and to advance the discussion on using AI within society. For this study, we developed an AI ethics scale based on AI-specific scenarios. We investigated public attitudes toward AI ethics in Japan and the US using online questionnaires. We designed a test set using four dilemma scenarios and questionnaire items based on a theoretical framework for ethics, legal, and social issues (ELSI). We found that country and age are the most informative sociodemographic categories for predicting attitudes for AI ethics. Our proposed scale, which consists of 13 questions, can be reduced to only three, covering ethics, tradition, and policies. This new AI ethics scale will help to quantify how AI research is accepted in society and which area of ELSI people are most concerned with.",Ethics; Artificial Intelligence; Dilemma; ELSI,,0951-5666,2022-01,2023-11-06 01:29:59,2023-11-06 01:29:59,1609–1626,,,D4YXJKJ7,0.1602564102564102,0.4,0.0,0.1558417142339404
41,53.0,56.0,56.0,Epistemic Reasoning for Machine Ethics with Situation Calculus,"Proceedings of the 2021 AAAI/ACM Conference on AI, Ethics, and Society",,,10.1145/3461702.3462586,"Pagnucco, Maurice; Rajaratnam, David; Limarga, Raynaldio; Nayak, Abhaya; Song, Yang",2021.0,https://doi.org/10.1145/3461702.3462586,conferencePaper,"With the rapid development of autonomous machines such as selfdriving vehicles and social robots, there is increasing realisation that machine ethics is important for widespread acceptance of autonomous machines. Our objective is to encode ethical reasoning into autonomous machines following well-defined ethical principles and behavioural norms. We provide an approach to reasoning about actions that incorporates ethical considerations. It builds on Scherl and Levesque's [29, 30] approach to knowledge in the situation calculus. We show how reasoning about knowledge in a dynamic setting can be used to guide ethical and moral choices, aligned with consequentialist and deontological approaches to ethics. We apply our approach to autonomous driving and social robot scenarios, and provide an implementation framework.",machine ethics; epistemic logic; knowledge representation; situation calculus,978-1-4503-8473-5,,2021,2023-11-06 01:29:57,2023-11-06 01:29:57,814–821,AIES '21,Association for Computing Machinery,AAT628QT,0.1379310344827586,0.25,0.25,0.1541408016075209
42,54.0,57.0,57.0,Broadening AI Ethics Narratives: An Indic Art View,"Proceedings of the 2023 ACM Conference on Fairness, Accountability, and Transparency",,,10.1145/3593013.3593971,"Divakaran, Ajay; Sridhar, Aparna; Srinivasan, Ramya",2023.0,https://doi.org/10.1145/3593013.3593971,conferencePaper,"Incorporating interdisciplinary perspectives is seen as an essential step towards enhancing artificial intelligence (AI) ethics. In this regard, the field of arts is perceived to play a key role in elucidating diverse historical and cultural narratives, serving as a bridge across research communities. Most of the works that examine the interplay between the field of arts and AI ethics concern digital artworks, largely exploring the potential of computational tools in being able to surface biases in AI systems. In this paper, we investigate a complementary direction–that of uncovering the unique socio-cultural perspectives embedded in human-made art, which in turn, can be valuable in expanding the horizon of AI ethics. Through semi-structured interviews across sixteen artists, art scholars, and researchers of diverse Indian art forms like music, sculpture, painting, floor drawings, dance, etc., we explore how non-Western ethical abstractions, methods of learning, and participatory practices observed in Indian arts, one of the most ancient yet perpetual and influential art traditions, can shed light on aspects related to ethical AI systems. Through a case study concerning the Indian dance system (i.e. the ‘Natyashastra’), we analyze potential pathways towards enhancing ethics in AI systems. Insights from our study outline the need for (1) incorporating empathy in ethical AI algorithms, (2) integrating multimodal data formats for ethical AI system design and development, (3) viewing AI ethics as a dynamic, diverse, cumulative, and shared process rather than as a static, self-contained framework to facilitate adaptability without annihilation of values (4) consistent life-long learning to enhance AI accountability",AI ethics; Indian arts,9798400701924,,2023,2023-11-06 01:29:48,2023-11-06 01:29:48,2–11,FAccT '23,Association for Computing Machinery,4SQQGBXJ,0.1388888888888889,0.75,0.375,0.1528314620528867
43,55.0,58.0,58.0,Centring Dignity in Algorithm Development: Testing a Dignity Lens,Proceedings of the 34th Australian Conference on Human-Computer Interaction,,,10.1145/3572921.3572938,"Ruster, Lorenn P.; Oliva-Altamirano, Paola; Daniell, Katherine A.",2023.0,https://doi.org/10.1145/3572921.3572938,conferencePaper,"Against a backdrop of algorithms that disempower, dehumanise, disenfranchise and discriminate, there are increasing calls to centre the human in AI development processes and to humanise AI development in practice; centring dignity in AI development could provide a way forward. Despite the inclusion of dignity in many Artificial Intelligence (AI) ethics frameworks, like many other AI ethics principles, there is little operational understanding of what dignity can look like in practice when it comes to the development of algorithms. Drawing on cybernetics and a model of dignity developed in the field of international conflict resolution, this paper presents our work-in-progress tool - the Dignity Lens - for considering dignity throughout the AI development lifecycle, and practitioner reflections from using the tool. This work is an initial step towards articulating what dignity-centred AI development could look like in practice, assisting practitioners designing and developing algorithms to actively consider dignity.",AI Ethics; Cybernetics; Dignity; Interaction Design,9798400700248,,2023,2023-11-06 01:29:55,2023-11-06 01:29:55,1–8,OzCHI '22,Association for Computing Machinery,6GZV636E,0.1216216216216216,0.6666666666666666,0.2222222222222222,0.1515835206934683
